feedback,satisfaction,improvement_score,User ID,Timestamp,Category,Feedback Sentiment,Customer Type,Response Time (hrs),Resolved Status,Resolution Time (days),Feedback Length,Engagement Score
"Mild flavors, could be stronger.",5,1,U00458,2024-05-21 07:57:59.221495,Software,Negative,VIP User,21,No,,32,5.63
Perfect balance of flavors.,3,3,U00459,2024-09-19 07:57:59.221499,Service,Positive,VIP User,68,Yes,3.0,27,4.73
Great value for money.,3,5,U00460,2024-06-25 07:57:59.221502,Service,Neutral,New User,57,Yes,24.0,22,2.25
"Great taste, loved it!",4,1,U00461,2025-03-01 07:57:59.221505,Clothing,Positive,New User,64,Yes,25.0,22,4.15
Needs improvement in texture.,2,5,U00462,2024-10-07 07:57:59.221508,Electronics,Neutral,New User,28,Yes,8.0,29,8.57
"Mild flavors, could be stronger.",5,1,U00463,2024-08-26 07:57:59.221511,Clothing,Positive,VIP User,62,Yes,22.0,32,7.96
"Not as expected, needs improvement.",2,3,U00464,2025-02-21 07:57:59.221514,Software,Positive,New User,59,Yes,17.0,35,3.45
"Amazing experience, will buy again.",2,5,U00465,2024-08-30 07:57:59.221518,Electronics,Negative,New User,63,No,,35,5.67
"Very satisfying, good quality.",4,4,U00466,2024-10-29 07:57:59.221521,Food,Neutral,Returning User,21,No,,30,5.47
"Great taste, loved it!",4,1,U00467,2024-08-27 07:57:59.221524,Software,Negative,New User,16,Yes,5.0,22,3.13
Perfect balance of flavors.,3,3,U00468,2024-08-30 07:57:59.221526,Food,Positive,VIP User,60,No,,27,7.47
Too salty for my preference.,1,5,U00469,2025-01-30 07:57:59.221527,Electronics,Neutral,Returning User,19,Yes,16.0,28,5.72
Could be less oily.,5,5,U00470,2024-09-16 07:57:59.221529,Electronics,Positive,Returning User,66,No,,19,7.98
Delicious and well-seasoned.,5,5,U00471,2024-06-08 07:57:59.221531,Software,Neutral,New User,60,Yes,6.0,28,9.4
"Mild flavors, could be stronger.",5,1,U00472,2024-09-03 07:57:59.221533,Electronics,Neutral,VIP User,48,No,,32,2.69
Lacked freshness.,4,4,U00473,2024-08-22 07:57:59.221535,Service,Neutral,New User,7,Yes,23.0,17,5.57
Delicious and well-seasoned.,5,5,U00474,2024-05-09 07:57:59.221537,Clothing,Negative,New User,28,Yes,2.0,28,5.63
Perfect balance of flavors.,3,3,U00475,2024-08-14 07:57:59.221539,Clothing,Negative,Returning User,14,Yes,11.0,27,9.68
Too spicy for me.,5,3,U00476,2024-06-20 07:57:59.221541,Software,Negative,New User,29,Yes,25.0,17,3.73
Would recommend to friends!,3,3,U00477,2024-07-28 07:57:59.221543,Food,Negative,Returning User,10,No,,27,6.99
Too spicy for me.,5,3,U00478,2024-05-12 07:57:59.221546,Clothing,Negative,Returning User,2,No,,17,6.15
Too salty for my preference.,1,5,U00479,2024-05-02 07:57:59.221548,Service,Negative,New User,56,No,,28,7.19
"Mild flavors, could be stronger.",5,1,U00480,2024-09-04 07:57:59.221550,Clothing,Neutral,Returning User,24,Yes,30.0,32,7.81
Lacked freshness.,4,4,U00481,2024-11-09 07:57:59.221552,Electronics,Positive,VIP User,1,Yes,19.0,17,3.17
"Very satisfying, good quality.",4,4,U00482,2024-06-19 07:57:59.221553,Clothing,Neutral,VIP User,56,No,,30,4.74
Too salty for my preference.,1,5,U00483,2024-04-21 07:57:59.221555,Service,Positive,New User,49,No,,28,9.99
"Mild flavors, could be stronger.",5,1,U00484,2024-10-07 07:57:59.221557,Electronics,Negative,VIP User,66,No,,32,6.01
Portion size could be larger.,4,4,U00485,2024-06-01 07:57:59.221559,Software,Positive,VIP User,5,Yes,10.0,29,7.67
Delicious and well-seasoned.,5,5,U00486,2024-05-13 07:57:59.221561,Software,Neutral,Returning User,41,No,,28,8.15
Too salty for my preference.,1,5,U00487,2025-01-06 07:57:59.221563,Service,Negative,VIP User,22,Yes,28.0,28,7.65
Delicious and well-seasoned.,5,5,U00488,2024-07-26 07:57:59.221565,Clothing,Negative,Returning User,15,Yes,2.0,28,8.29
"Great taste, loved it!",4,1,U00489,2025-02-17 07:57:59.221567,Service,Negative,Returning User,41,Yes,9.0,22,7.51
Too spicy for me.,5,3,U00490,2025-02-15 07:57:59.221569,Food,Neutral,New User,41,Yes,5.0,17,8.56
"Great taste, loved it!",4,1,U00491,2024-06-22 07:57:59.221571,Service,Negative,Returning User,49,Yes,16.0,22,8.87
Could be less oily.,5,5,U00492,2024-08-24 07:57:59.221573,Electronics,Negative,New User,38,No,,19,1.97
Portion size could be larger.,4,4,U00493,2024-04-10 07:57:59.221575,Software,Positive,VIP User,6,No,,29,7.1
Lacked freshness.,4,4,U00494,2024-12-29 07:57:59.221577,Service,Neutral,VIP User,36,Yes,3.0,17,6.94
"Very satisfying, good quality.",4,4,U00495,2024-11-08 07:57:59.221579,Software,Positive,Returning User,30,No,,30,6.04
"Not as expected, needs improvement.",2,3,U00496,2024-05-11 07:57:59.221581,Clothing,Positive,New User,32,Yes,1.0,35,3.21
Delicious and well-seasoned.,5,5,U00497,2025-02-09 07:57:59.221582,Software,Positive,New User,62,No,,28,4.36
"Very satisfying, good quality.",4,4,U00498,2024-09-22 07:57:59.221585,Food,Negative,Returning User,48,Yes,29.0,30,2.37
Delicious and well-seasoned.,5,5,U00499,2024-05-25 07:57:59.221586,Software,Positive,New User,69,No,,28,5.26
Perfect balance of flavors.,3,3,U00500,2024-09-04 07:57:59.221588,Clothing,Negative,Returning User,17,Yes,17.0,27,9.29
Too salty for my preference.,1,5,U00501,2024-11-04 07:57:59.221590,Clothing,Positive,New User,15,Yes,1.0,28,7.76
Could be less oily.,5,5,U00502,2025-02-16 07:57:59.221592,Food,Negative,Returning User,54,Yes,29.0,19,9.92
Too spicy for me.,5,3,U00503,2025-01-26 07:57:59.221594,Service,Positive,New User,65,No,,17,8.57
"Not as expected, needs improvement.",2,3,U00504,2024-10-23 07:57:59.221596,Service,Neutral,VIP User,49,Yes,27.0,35,9.26
Great value for money.,3,5,U00505,2024-07-11 07:57:59.221598,Service,Positive,VIP User,17,No,,22,8.01
Delicious and well-seasoned.,5,5,U00506,2024-08-24 07:57:59.221600,Electronics,Negative,VIP User,5,No,,28,3.88
"Very satisfying, good quality.",4,4,U00507,2024-10-18 07:57:59.221601,Clothing,Negative,Returning User,8,Yes,21.0,30,9.17
Could be less oily.,5,5,U00508,2025-02-20 07:57:59.221603,Service,Neutral,Returning User,29,No,,19,2.86
Needs improvement in texture.,2,5,U00509,2024-06-10 07:57:59.221605,Clothing,Positive,Returning User,16,No,,29,8.65
"Not as expected, needs improvement.",2,3,U00510,2024-12-14 07:57:59.221607,Food,Negative,VIP User,3,No,,35,4.12
Needs improvement in texture.,2,5,U00511,2024-12-27 07:57:59.221609,Food,Positive,Returning User,18,No,,29,8.43
"Great taste, loved it!",4,1,U00512,2025-03-03 07:57:59.221611,Software,Positive,New User,1,No,,22,2.43
Too spicy for me.,5,3,U00513,2024-12-20 07:57:59.221613,Food,Positive,Returning User,38,No,,17,1.49
Would recommend to friends!,3,3,U00514,2024-08-09 07:57:59.221615,Clothing,Negative,VIP User,25,Yes,23.0,27,6.63
Would recommend to friends!,3,3,U00515,2024-05-24 07:57:59.221617,Electronics,Neutral,VIP User,66,Yes,3.0,27,4.82
Great value for money.,3,5,U00516,2024-12-08 07:57:59.221619,Service,Neutral,Returning User,46,No,,22,2.76
Perfect balance of flavors.,3,3,U00517,2024-12-26 07:57:59.221621,Clothing,Negative,VIP User,51,No,,27,5.71
"Very satisfying, good quality.",4,4,U00518,2024-03-24 07:57:59.221623,Software,Positive,New User,51,No,,30,4.43
"Mild flavors, could be stronger.",5,1,U00519,2025-03-01 07:57:59.221625,Clothing,Negative,VIP User,37,No,,32,9.01
Great value for money.,3,5,U00520,2024-05-11 07:57:59.221627,Software,Neutral,VIP User,6,No,,22,2.44
Too salty for my preference.,1,5,U00521,2024-11-03 07:57:59.221629,Electronics,Negative,New User,25,Yes,5.0,28,3.14
Too salty for my preference.,1,5,U00522,2024-10-26 07:57:59.221631,Food,Positive,Returning User,41,Yes,23.0,28,7.4
"Very satisfying, good quality.",4,4,U00523,2024-09-25 07:57:59.221633,Food,Negative,New User,18,Yes,4.0,30,9.84
"Mild flavors, could be stronger.",5,1,U00524,2024-07-22 07:57:59.221635,Electronics,Neutral,VIP User,48,No,,32,9.3
Lacked freshness.,4,4,U00525,2024-11-23 07:57:59.221636,Food,Negative,New User,59,Yes,2.0,17,2.3
Perfect balance of flavors.,3,3,U00526,2024-04-21 07:57:59.221638,Software,Negative,VIP User,16,No,,27,8.1
Could be less oily.,5,5,U00527,2024-06-23 07:57:59.221640,Clothing,Positive,New User,26,Yes,27.0,19,8.18
Delicious and well-seasoned.,5,5,U00528,2025-01-09 07:57:59.221642,Clothing,Positive,VIP User,63,No,,28,7.21
"Mild flavors, could be stronger.",5,1,U00529,2024-12-10 07:57:59.221644,Clothing,Negative,Returning User,34,Yes,4.0,32,6.53
Would recommend to friends!,3,3,U00530,2024-04-28 07:57:59.221646,Service,Negative,Returning User,46,No,,27,2.5
"Not as expected, needs improvement.",2,3,U00531,2024-05-20 07:57:59.221648,Clothing,Neutral,VIP User,51,No,,35,1.77
Lacked freshness.,4,4,U00532,2024-04-18 07:57:59.221650,Service,Negative,VIP User,52,Yes,25.0,17,4.92
Delicious and well-seasoned.,5,5,U00533,2025-03-11 07:57:59.221652,Food,Neutral,VIP User,4,No,,28,3.52
Delicious and well-seasoned.,5,5,U00534,2025-03-16 07:57:59.221654,Software,Negative,Returning User,3,Yes,27.0,28,2.0
Lacked freshness.,4,4,U00535,2024-08-24 07:57:59.221656,Service,Negative,New User,18,No,,17,3.57
"Great taste, loved it!",4,1,U00536,2024-11-22 07:57:59.221658,Software,Positive,VIP User,70,Yes,18.0,22,3.46
Needs improvement in texture.,2,5,U00537,2024-11-09 07:57:59.221660,Software,Neutral,VIP User,31,No,,29,1.15
Delicious and well-seasoned.,5,5,U00538,2024-07-22 07:57:59.221661,Service,Negative,New User,6,No,,28,3.4
Lacked freshness.,4,4,U00539,2024-03-27 07:57:59.221663,Food,Neutral,VIP User,53,Yes,4.0,17,1.98
"Mild flavors, could be stronger.",5,1,U00540,2024-05-17 07:57:59.221665,Electronics,Positive,Returning User,29,No,,32,2.67
Lacked freshness.,4,4,U00541,2024-10-20 07:57:59.221667,Service,Positive,VIP User,59,No,,17,4.17
Portion size could be larger.,4,4,U00542,2024-09-06 07:57:59.221669,Electronics,Negative,VIP User,29,Yes,21.0,29,7.45
Great value for money.,3,5,U00543,2024-06-05 07:57:59.221671,Clothing,Negative,New User,65,Yes,21.0,22,1.06
"Amazing experience, will buy again.",2,5,U00544,2025-02-13 07:57:59.221673,Software,Neutral,VIP User,29,Yes,11.0,35,5.58
"Great taste, loved it!",4,1,U00545,2024-06-20 07:57:59.221675,Food,Neutral,Returning User,27,No,,22,3.01
Too spicy for me.,5,3,U00546,2024-05-20 07:57:59.221677,Electronics,Positive,New User,33,No,,17,2.92
"Amazing experience, will buy again.",2,5,U00547,2024-04-30 07:57:59.221679,Service,Neutral,VIP User,50,No,,35,4.2
Great value for money.,3,5,U00548,2024-04-04 07:57:59.221681,Food,Positive,New User,17,Yes,28.0,22,6.0
Great value for money.,3,5,U00549,2024-12-14 07:57:59.221683,Software,Positive,New User,70,Yes,28.0,22,4.79
Great value for money.,3,5,U00550,2024-09-09 07:57:59.221685,Clothing,Positive,New User,24,No,,22,4.82
"Amazing experience, will buy again.",2,5,U00551,2024-08-28 07:57:59.221688,Software,Neutral,VIP User,9,Yes,7.0,35,5.18
"Very satisfying, good quality.",4,4,U00552,2025-01-22 07:57:59.221691,Service,Negative,New User,1,Yes,22.0,30,9.48
Needs improvement in texture.,2,5,U00553,2024-12-15 07:57:59.221695,Clothing,Positive,New User,25,No,,29,4.28
Lacked freshness.,4,4,U00554,2024-09-24 07:57:59.221698,Software,Neutral,Returning User,14,No,,17,5.43
"Not as expected, needs improvement.",2,3,U00555,2024-12-31 07:57:59.221701,Software,Positive,VIP User,49,Yes,19.0,35,5.88
Needs improvement in texture.,2,5,U00556,2024-07-11 07:57:59.221705,Software,Neutral,VIP User,53,No,,29,9.98
Would recommend to friends!,3,3,U00557,2024-12-04 07:57:59.221708,Service,Positive,VIP User,22,Yes,29.0,27,8.48
"Mild flavors, could be stronger.",5,1,U00558,2024-06-21 07:57:59.221711,Electronics,Negative,Returning User,71,Yes,20.0,32,9.33
Perfect balance of flavors.,3,3,U00559,2024-07-14 07:57:59.221714,Software,Neutral,New User,24,Yes,6.0,27,3.06
"Very satisfying, good quality.",4,4,U00560,2024-06-04 07:57:59.221717,Electronics,Positive,VIP User,2,Yes,27.0,30,8.86
Too spicy for me.,5,3,U00561,2024-11-06 07:57:59.221723,Food,Neutral,VIP User,69,Yes,13.0,17,6.33
Needs improvement in texture.,2,5,U00562,2024-12-07 07:57:59.221726,Clothing,Negative,New User,53,Yes,25.0,29,8.96
"Not as expected, needs improvement.",2,3,U00563,2024-10-24 07:57:59.221728,Electronics,Negative,VIP User,54,No,,35,5.44
Too salty for my preference.,1,5,U00564,2025-01-26 07:57:59.221730,Software,Positive,Returning User,41,Yes,13.0,28,2.34
Great value for money.,3,5,U00565,2024-07-12 07:57:59.221732,Service,Positive,New User,55,No,,22,5.6
Delicious and well-seasoned.,5,5,U00566,2024-10-07 07:57:59.221734,Clothing,Neutral,VIP User,51,No,,28,8.76
Would recommend to friends!,3,3,U00567,2024-06-21 07:57:59.221736,Software,Negative,Returning User,51,No,,27,6.05
Perfect balance of flavors.,3,3,U00568,2024-05-26 07:57:59.221738,Food,Positive,New User,58,No,,27,2.06
"Great taste, loved it!",4,1,U00569,2024-05-16 07:57:59.221740,Service,Negative,New User,54,Yes,22.0,22,1.54
Too spicy for me.,5,3,U00570,2024-03-28 07:57:59.221742,Software,Neutral,New User,12,No,,17,1.38
"Mild flavors, could be stronger.",5,1,U00571,2024-10-09 07:57:59.221744,Clothing,Positive,VIP User,45,Yes,21.0,32,3.43
Perfect balance of flavors.,3,3,U00572,2024-10-10 07:57:59.221746,Software,Positive,VIP User,1,No,,27,3.17
Great value for money.,3,5,U00573,2025-01-12 07:57:59.221748,Electronics,Neutral,VIP User,58,No,,22,1.39
Delicious and well-seasoned.,5,5,U00574,2024-04-03 07:57:59.221750,Software,Positive,New User,12,Yes,27.0,28,6.01
"Very satisfying, good quality.",4,4,U00575,2024-03-26 07:57:59.221752,Electronics,Neutral,Returning User,5,No,,30,2.56
Delicious and well-seasoned.,5,5,U00576,2024-11-30 07:57:59.221754,Electronics,Positive,New User,10,No,,28,3.2
"Amazing experience, will buy again.",2,5,U00577,2024-08-21 07:57:59.221756,Service,Neutral,New User,40,No,,35,1.2
Delicious and well-seasoned.,5,5,U00578,2024-06-25 07:57:59.221758,Service,Neutral,Returning User,14,No,,28,9.5
"Amazing experience, will buy again.",2,5,U00579,2024-03-23 07:57:59.221759,Food,Negative,Returning User,52,No,,35,1.44
Would recommend to friends!,3,3,U00580,2025-02-23 07:57:59.221762,Food,Positive,Returning User,6,No,,27,6.35
"Very satisfying, good quality.",4,4,U00581,2024-12-19 07:57:59.221764,Clothing,Negative,New User,51,Yes,15.0,30,3.04
"Mild flavors, could be stronger.",5,1,U00582,2024-05-30 07:57:59.221765,Electronics,Negative,New User,29,No,,32,8.17
Could be less oily.,5,5,U00583,2024-11-28 07:57:59.221767,Service,Negative,VIP User,54,Yes,23.0,19,1.23
Great value for money.,3,5,U00584,2025-01-26 07:57:59.221769,Electronics,Neutral,VIP User,20,Yes,4.0,22,6.11
"Amazing experience, will buy again.",2,5,U00585,2024-11-05 07:57:59.221771,Electronics,Neutral,Returning User,19,Yes,27.0,35,3.9
"Great taste, loved it!",4,1,U00586,2024-07-02 07:57:59.221773,Software,Positive,New User,51,No,,22,9.65
Delicious and well-seasoned.,5,5,U00587,2025-02-11 07:57:59.221775,Software,Negative,Returning User,52,Yes,1.0,28,1.18
Delicious and well-seasoned.,5,5,U00588,2025-01-29 07:57:59.221777,Clothing,Neutral,VIP User,58,No,,28,4.42
"Great taste, loved it!",4,1,U00589,2025-02-03 07:57:59.221779,Software,Positive,Returning User,53,Yes,22.0,22,6.11
"Mild flavors, could be stronger.",5,1,U00590,2024-09-22 07:57:59.221781,Electronics,Positive,Returning User,53,No,,32,3.89
Too salty for my preference.,1,5,U00591,2024-07-28 07:57:59.221783,Clothing,Negative,VIP User,3,Yes,5.0,28,7.85
Would recommend to friends!,3,3,U00592,2024-11-22 07:57:59.221785,Food,Neutral,New User,54,Yes,6.0,27,3.2
Lacked freshness.,4,4,U00593,2024-10-11 07:57:59.221787,Service,Positive,VIP User,3,Yes,18.0,17,2.26
Could be less oily.,5,5,U00594,2024-05-26 07:57:59.221789,Software,Neutral,VIP User,31,No,,19,8.78
Too spicy for me.,5,3,U00595,2024-12-22 07:57:59.221791,Software,Positive,New User,54,Yes,28.0,17,6.69
"Not as expected, needs improvement.",2,3,U00596,2025-02-05 07:57:59.221793,Clothing,Negative,Returning User,54,Yes,10.0,35,7.38
"Amazing experience, will buy again.",2,5,U00597,2024-07-22 07:57:59.221795,Electronics,Negative,Returning User,31,No,,35,3.97
"Great taste, loved it!",4,1,U00598,2024-06-02 07:57:59.221798,Electronics,Neutral,VIP User,25,No,,22,5.05
"Not as expected, needs improvement.",2,3,U00599,2024-05-02 07:57:59.221800,Service,Positive,VIP User,41,Yes,27.0,35,9.38
"Very satisfying, good quality.",4,4,U00600,2024-07-11 07:57:59.221802,Electronics,Neutral,VIP User,1,Yes,4.0,30,7.55
"Mild flavors, could be stronger.",5,1,U00601,2024-09-08 07:57:59.221803,Food,Neutral,Returning User,15,Yes,2.0,32,2.19
"Amazing experience, will buy again.",2,5,U00602,2025-01-06 07:57:59.221805,Service,Negative,New User,40,No,,35,1.91
Lacked freshness.,4,4,U00603,2025-01-13 07:57:59.221807,Software,Negative,Returning User,60,No,,17,1.67
"Not as expected, needs improvement.",2,3,U00604,2024-11-02 07:57:59.221809,Service,Neutral,VIP User,36,No,,35,1.12
"Very satisfying, good quality.",4,4,U00605,2025-03-12 07:57:59.221811,Clothing,Negative,Returning User,12,No,,30,5.65
Perfect balance of flavors.,3,3,U00606,2025-02-07 07:57:59.221813,Food,Neutral,New User,48,No,,27,2.15
Great value for money.,3,5,U00607,2024-06-10 07:57:59.221814,Food,Negative,Returning User,50,No,,22,4.92
Delicious and well-seasoned.,5,5,U00608,2024-08-18 07:57:59.221816,Electronics,Negative,VIP User,28,Yes,23.0,28,2.99
Perfect balance of flavors.,3,3,U00609,2024-08-28 07:57:59.221818,Software,Positive,Returning User,51,No,,27,6.66
"Amazing experience, will buy again.",2,5,U00610,2024-06-29 07:57:59.221821,Software,Positive,VIP User,6,No,,35,6.91
Lacked freshness.,4,4,U00611,2024-10-17 07:57:59.221823,Food,Negative,VIP User,3,Yes,16.0,17,6.86
Could be less oily.,5,5,U00612,2024-12-05 07:57:59.221825,Clothing,Negative,VIP User,59,Yes,6.0,19,2.06
"Not as expected, needs improvement.",2,3,U00613,2024-07-11 07:57:59.221826,Electronics,Neutral,New User,27,No,,35,7.71
Would recommend to friends!,3,3,U00614,2025-02-24 07:57:59.221829,Electronics,Negative,Returning User,13,Yes,30.0,27,3.12
Great value for money.,3,5,U00615,2024-10-02 07:57:59.221831,Software,Positive,Returning User,56,Yes,1.0,22,5.83
"Amazing experience, will buy again.",2,5,U00616,2024-04-25 07:57:59.221833,Clothing,Negative,New User,71,No,,35,2.86
"Mild flavors, could be stronger.",5,1,U00617,2025-03-01 07:57:59.221835,Food,Positive,Returning User,61,No,,32,8.2
"Great taste, loved it!",4,1,U00618,2025-02-22 07:57:59.221836,Food,Neutral,New User,66,Yes,22.0,22,9.23
Would recommend to friends!,3,3,U00619,2025-01-07 07:57:59.221838,Food,Positive,VIP User,71,No,,27,5.85
Would recommend to friends!,3,3,U00620,2024-08-12 07:57:59.221840,Electronics,Negative,New User,3,No,,27,7.54
Would recommend to friends!,3,3,U00621,2024-12-21 07:57:59.221842,Software,Positive,VIP User,33,No,,27,4.91
Needs improvement in texture.,2,5,U00622,2025-03-10 07:57:59.221844,Software,Neutral,Returning User,38,Yes,25.0,29,5.08
"Amazing experience, will buy again.",2,5,U00623,2024-05-19 07:57:59.221846,Service,Neutral,New User,27,Yes,13.0,35,6.41
Great value for money.,3,5,U00624,2025-02-26 07:57:59.221848,Clothing,Negative,Returning User,30,Yes,5.0,22,5.15
Delicious and well-seasoned.,5,5,U00625,2024-09-02 07:57:59.221850,Software,Positive,Returning User,13,No,,28,1.4
Delicious and well-seasoned.,5,5,U00626,2025-02-07 07:57:59.221852,Service,Negative,New User,71,Yes,10.0,28,4.09
"Amazing experience, will buy again.",2,5,U00627,2025-03-09 07:57:59.221854,Electronics,Neutral,VIP User,6,Yes,11.0,35,3.88
"Very satisfying, good quality.",4,4,U00628,2024-10-03 07:57:59.221855,Food,Neutral,Returning User,6,Yes,28.0,30,9.23
Needs improvement in texture.,2,5,U00629,2025-01-24 07:57:59.221857,Food,Positive,VIP User,17,No,,29,9.47
"Great taste, loved it!",4,1,U00630,2024-05-01 07:57:59.221859,Service,Negative,New User,20,No,,22,3.27
Would recommend to friends!,3,3,U00631,2024-10-26 07:57:59.221861,Software,Negative,Returning User,3,No,,27,5.54
Would recommend to friends!,3,3,U00632,2024-04-24 07:57:59.221863,Food,Positive,New User,70,No,,27,5.41
"Amazing experience, will buy again.",2,5,U00633,2024-09-21 07:57:59.221865,Service,Negative,New User,5,No,,35,9.38
"Very satisfying, good quality.",4,4,U00634,2024-08-13 07:57:59.221867,Service,Negative,VIP User,21,No,,30,5.07
Delicious and well-seasoned.,5,5,U00635,2024-12-01 07:57:59.221869,Clothing,Neutral,New User,14,No,,28,4.4
Delicious and well-seasoned.,5,5,U00636,2024-04-04 07:57:59.221871,Food,Positive,Returning User,9,Yes,25.0,28,2.21
Lacked freshness.,4,4,U00637,2025-01-21 07:57:59.221873,Software,Neutral,Returning User,37,Yes,26.0,17,1.39
"Amazing experience, will buy again.",2,5,U00638,2024-10-22 07:57:59.221875,Software,Positive,VIP User,51,No,,35,5.53
Needs improvement in texture.,2,5,U00639,2024-10-18 07:57:59.221876,Electronics,Neutral,New User,44,No,,29,8.78
Too salty for my preference.,1,5,U00640,2024-08-16 07:57:59.221878,Food,Negative,New User,27,Yes,16.0,28,8.69
Needs improvement in texture.,2,5,U00641,2025-03-02 07:57:59.221880,Clothing,Negative,Returning User,8,Yes,6.0,29,9.6
"Mild flavors, could be stronger.",5,1,U00642,2024-10-18 07:57:59.221882,Food,Neutral,New User,38,No,,32,8.99
Delicious and well-seasoned.,5,5,U00643,2025-02-25 07:57:59.221884,Software,Negative,Returning User,17,Yes,4.0,28,2.37
Delicious and well-seasoned.,5,5,U00644,2024-05-12 07:57:59.221886,Software,Neutral,VIP User,23,Yes,11.0,28,5.81
Perfect balance of flavors.,3,3,U00645,2024-09-15 07:57:59.221888,Electronics,Neutral,VIP User,53,Yes,24.0,27,3.95
Delicious and well-seasoned.,5,5,U00646,2024-11-12 07:57:59.221890,Food,Neutral,Returning User,50,Yes,21.0,28,2.88
"Great taste, loved it!",4,1,U00647,2024-05-21 07:57:59.221892,Service,Negative,Returning User,57,No,,22,8.01
Too spicy for me.,5,3,U00648,2024-12-01 07:57:59.221894,Food,Negative,Returning User,8,No,,17,5.8
"Amazing experience, will buy again.",2,5,U00649,2024-12-06 07:57:59.221896,Software,Positive,New User,38,Yes,10.0,35,5.88
"Not as expected, needs improvement.",2,3,U00650,2024-07-20 07:57:59.221898,Food,Positive,VIP User,33,Yes,14.0,35,7.85
Needs improvement in texture.,2,5,U00651,2024-05-20 07:57:59.221900,Software,Negative,New User,2,No,,29,6.03
Too spicy for me.,5,3,U00652,2024-04-25 07:57:59.221902,Service,Positive,Returning User,66,No,,17,5.17
"Very satisfying, good quality.",4,4,U00653,2024-12-02 07:57:59.221904,Service,Positive,VIP User,6,No,,30,9.87
Too salty for my preference.,1,5,U00654,2025-02-19 07:57:59.221906,Clothing,Neutral,Returning User,31,No,,28,9.13
"Great taste, loved it!",4,1,U00655,2024-06-02 07:57:59.221908,Electronics,Neutral,New User,44,Yes,16.0,22,5.55
Great value for money.,3,5,U00656,2024-10-07 07:57:59.221909,Software,Positive,New User,3,Yes,3.0,22,4.0
Portion size could be larger.,4,4,U00657,2024-10-25 07:57:59.221911,Food,Negative,Returning User,36,No,,29,9.89
Needs improvement in texture.,2,5,U00658,2024-04-12 07:57:59.221913,Service,Positive,New User,62,No,,29,6.07
Too spicy for me.,5,3,U00659,2024-09-18 07:57:59.221915,Electronics,Neutral,Returning User,40,No,,17,1.5
Great value for money.,3,5,U00660,2024-07-02 07:57:59.221917,Software,Negative,Returning User,29,Yes,30.0,22,5.54
Too salty for my preference.,1,5,U00661,2024-09-02 07:57:59.221919,Software,Negative,New User,50,No,,28,3.57
Perfect balance of flavors.,3,3,U00662,2024-11-19 07:57:59.221921,Food,Positive,Returning User,42,Yes,6.0,27,7.89
Great value for money.,3,5,U00663,2024-06-18 07:57:59.221923,Food,Neutral,VIP User,34,Yes,21.0,22,7.34
"Great taste, loved it!",4,1,U00664,2024-05-21 07:57:59.221925,Service,Negative,VIP User,58,No,,22,6.03
"Great taste, loved it!",4,1,U00665,2024-04-10 07:57:59.221927,Software,Neutral,Returning User,64,No,,22,9.75
"Not as expected, needs improvement.",2,3,U00666,2024-05-09 07:57:59.221929,Food,Negative,Returning User,61,Yes,16.0,35,2.86
Perfect balance of flavors.,3,3,U00667,2024-07-20 07:57:59.221931,Food,Positive,New User,7,No,,27,1.99
Portion size could be larger.,4,4,U00668,2024-10-09 07:57:59.221933,Food,Positive,VIP User,27,Yes,30.0,29,6.92
"Amazing experience, will buy again.",2,5,U00669,2024-12-29 07:57:59.221935,Electronics,Negative,New User,43,Yes,16.0,35,8.75
Great value for money.,3,5,U00670,2024-12-29 07:57:59.221937,Food,Neutral,New User,31,Yes,2.0,22,9.83
Perfect balance of flavors.,3,3,U00671,2024-11-20 07:57:59.221938,Food,Neutral,VIP User,65,Yes,8.0,27,5.63
"Great taste, loved it!",4,1,U00672,2024-05-04 07:57:59.221940,Service,Negative,New User,9,Yes,9.0,22,4.05
"Great taste, loved it!",4,1,U00673,2024-07-03 07:57:59.221942,Service,Neutral,Returning User,29,Yes,28.0,22,8.32
Too spicy for me.,5,3,U00674,2024-06-19 07:57:59.221944,Service,Negative,VIP User,7,Yes,12.0,17,4.87
Delicious and well-seasoned.,5,5,U00675,2024-05-09 07:57:59.221946,Clothing,Positive,Returning User,45,Yes,1.0,28,3.75
Portion size could be larger.,4,4,U00676,2024-09-29 07:57:59.221948,Clothing,Positive,Returning User,27,No,,29,7.58
Great value for money.,3,5,U00677,2024-10-21 07:57:59.221950,Food,Positive,Returning User,39,No,,22,1.07
"Not as expected, needs improvement.",2,3,U00678,2025-03-09 07:57:59.221952,Food,Neutral,New User,8,No,,35,7.93
"Not as expected, needs improvement.",2,3,U00679,2024-04-08 07:57:59.221954,Food,Negative,VIP User,42,Yes,13.0,35,1.46
Great value for money.,3,5,U00680,2024-06-16 07:57:59.221956,Clothing,Positive,VIP User,6,No,,22,2.26
"Mild flavors, could be stronger.",5,1,U00681,2024-04-01 07:57:59.221958,Food,Negative,New User,70,Yes,29.0,32,4.49
Would recommend to friends!,3,3,U00682,2025-01-14 07:57:59.221960,Software,Positive,Returning User,52,Yes,26.0,27,4.96
Too salty for my preference.,1,5,U00683,2024-09-02 07:57:59.221962,Software,Neutral,New User,38,No,,28,7.18
"Not as expected, needs improvement.",2,3,U00684,2024-06-16 07:57:59.221964,Clothing,Neutral,VIP User,39,Yes,27.0,35,5.58
